"points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games","player","position","salary","Eff"
-0.824936319178155,-0.625580164458876,-0.872889830973585,-0.74676909998345,0.281886483137269,1.03529733389387,0.203004618431533,0.645546811431149,34,"Salah Mejri","C",525093,-3.63915412509175
0.143728282562413,1.23390506186949,0.663386979716215,1.00385082458352,-0.954183451795188,-0.165985019010494,-0.135563969748088,-0.686125519538383,76,"Zaza Pachulia","C",5200000,2.65906120802047
-0.641474318734211,-0.360087544650919,-0.70061469195748,0.593884219799722,-0.615942986703006,0.767029919349544,0.27330847827211,1.13440615799594,20,"Chris Andersen","C",5e+06,-4.20538429436115
1.73395858412315,0.441008832758193,2.96767059760026,1.34840965196591,0.743523497994415,-2.12056147781559,-0.0944347885862932,-1.7394634448517,52,"Marc Gasol","C",19700000,9.05784176951101
-1.15797243463372,-0.503622423911051,-0.0927759939195222,-1.4255809074686,-1.41926409129694,1.2083730852128,0.870891286917015,-0.587611900624187,2,"Chuck Hayes","C",83583,-2.47766075449738
-0.156967095128177,0.266867837052427,-0.523358306579232,0.784965335737912,0.500360366434014,0.396378083083434,-1.162442425615,0.491687955427955,77,"Clint Capela","C",1242720,0.0278884485882527
1.17550226016688,1.97173652670969,0.327496601394815,1.37810307203873,1.13778618529783,-0.121181835423766,-3.20277180300036,-1.84248115338472,71,"Dwight Howard","C",22359364,9.69712564669728
-0.710029121447871,-0.697503960166567,-0.764540686938299,-0.237660244369587,0.250383694721821,0.732414769085759,0.49593736776727,0.83639280258257,51,"Jeff Withey","C",947276,-3.76804039633508
0.258652284258378,1.7134554925296,0.450745941732899,0.702661029933613,2.1364194864139,0.19947386270208,-1.5194399476626,-1.13993415748738,61,"Rudy Gobert","C",1175880,6.33810567124325
-1.15797243463372,-1.38078001938964,-1.01374371821946,-1.18516839231761,-1.15149038976563,0.881452221610387,0.870891286917015,0.660227272288951,12,"Tibor Pleiss","C",3e+06,-5.58840133913671
3.78696218977697,1.88617197607815,2.4405936846163,3.05718783657757,0.854752574015113,-4.06133975847067,-2.56750825820905,-4.07772207963355,65,"DeMarcus Cousins","C",14728844,20.0968393767275
-0.208003020282058,-0.049708703173882,-0.730369033819478,0.0538807242298041,0.0225943015639644,0.145880278504964,0.150727389319309,0.737017375237451,78,"Kosta Koufos","C",7500000,-2.33899637759791
-0.161696931354363,-0.0783338927699199,-0.578377157641307,0.672564679303683,0.187378117890925,0.353920828070134,0.0741142087238083,0.614851302364836,66,"Willie Cauley-Stein","C",3398280,-1.67649805751103
0.0103772799499165,-0.211687076263325,-0.148970634724264,-0.789913918255812,-1.01079573302884,-0.0840725323340201,0.729091976391105,0.287990502064014,59,"Joffrey Lauvergne","C",1709720,-2.39115562860895
